"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:11 UTC 2026","784","","tests.authors.GetAuthorByIdApiTests","","tests.authors.GetAuthorByIdApiTests","testGetAuthorById_Success","Get author by ID - Success","Verify that a specific author can be retrieved by its ID"
"passed","Mon Mar 16 04:29:07 UTC 2026","Mon Mar 16 04:29:08 UTC 2026","1367","","tests.books.CreateBooksApiTests","","tests.books.CreateBooksApiTests","testCreateBook_Success","Create book - Success","Verify that a new book can be created successfully"
"passed","Mon Mar 16 04:29:08 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","1182","","tests.books.DeleteBooksApiTests","","tests.books.DeleteBooksApiTests","testDeleteBook_ExistingId_DeletesBookSuccessfully","Delete book with valid ID - Happy Path","Verify that a book can be deleted successfully with valid ID"
"passed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","392","","tests.books.GetBookByIdApiTests","","tests.books.GetBookByIdApiTests","testGetBookById_NonExistentId","Get book by ID - Non-existent ID","Verify behavior when requesting a book that doesn't exist"
"failed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","436","","tests.authors.GetAuthorsByBookIdApiTests","","tests.authors.GetAuthorsByBookIdApiTests","testGetAuthorsByBookId_Success","Get authors by book ID - Success","Verify that authors can be retrieved for an existing book"
"passed","Mon Mar 16 04:29:07 UTC 2026","Mon Mar 16 04:29:08 UTC 2026","1150","","tests.books.UpdateBooksApiTests","","tests.books.UpdateBooksApiTests","testUpdateBook_Success","Update book - Success","Verify that a book can be updated successfully with valid data"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","9","","tests.authors.DeleteAuthorsApiTests","","tests.authors.DeleteAuthorsApiTests","testDeleteAuthor_NonExistingId_ReturnsNotFound","Delete author with non-existing ID - Edge Case","Verify that deleting a non-existent author returns 404"
"passed","Mon Mar 16 04:29:08 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","791","","tests.books.CreateBooksApiTests","","tests.books.CreateBooksApiTests","testCreateBook_EmptyPayload_BehaviorValidation","Create book - empty payload","Verify API behavior when creating a book with empty payload"
"passed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","394","","tests.books.GetBookByIdApiTests","","tests.books.GetBookByIdApiTests","testGetBookById_InvalidId","Get book by ID - Invalid ID","Verify API returns an error when book ID is invalid"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","14","","tests.authors.CreateAuthorsApiTests","","tests.authors.CreateAuthorsApiTests","testCreateAuthor_Success","Create author - Success","Verify that a new author can be created successfully"
